<<<<<<< HEAD
timestamp,angry,disgust,fear,happy,sad,surprise,neutral
2025-06-14T14:06:12,80.72,0.0,0.0,1.28,1.47,3.85,12.67
2025-06-14T14:06:12,1.35,0.0,12.07,9.3,76.76,0.01,0.51
2025-06-14T14:06:12,2.08,0.0,15.79,3.21,78.58,0.01,0.33
2025-06-14T14:06:12,1.54,0.0,1.26,3.15,93.94,0.0,0.11
2025-06-14T14:06:12,1.54,0.0,1.26,3.15,93.94,0.0,0.11
2025-06-14T14:06:12,4.19,0.0,0.32,62.07,33.01,0.01,0.41
2025-06-14T14:06:12,3.68,0.0,16.24,30.96,11.86,36.83,0.44
2025-06-14T14:06:13,0.44,0.0,28.83,29.8,34.41,6.49,0.04
2025-06-14T14:06:13,0.0,0.0,1.31,1.39,97.01,0.06,0.23
2025-06-14T14:06:13,0.0,0.0,0.1,0.24,99.59,0.0,0.07
2025-06-14T14:06:13,0.0,0.0,0.1,0.24,99.59,0.0,0.07
2025-06-14T14:06:13,0.0,0.0,0.09,2.25,97.59,0.0,0.06
2025-06-14T14:06:13,3.9,0.0,78.55,0.07,16.27,0.0,1.2
2025-06-14T14:06:13,5.96,0.0,18.14,0.0,74.69,0.0,1.21
2025-06-14T14:06:13,3.57,0.0,6.24,0.0,88.96,0.0,1.23
2025-06-14T14:06:14,2.67,0.0,7.62,0.0,85.93,0.0,3.78
2025-06-14T14:06:14,0.38,0.0,4.46,1.77,27.84,0.01,65.54
2025-06-14T14:06:14,1.12,0.0,4.65,0.03,50.53,0.0,43.66
2025-06-14T14:06:14,0.74,0.0,5.14,0.09,27.76,0.0,66.27
2025-06-14T14:06:14,0.29,0.0,5.98,6.05,27.94,0.0,59.74
2025-06-14T14:06:14,0.89,0.0,3.4,0.03,40.26,0.0,55.43
2025-06-14T14:06:14,0.03,0.0,9.5,0.0,90.44,0.0,0.03
2025-06-14T14:06:14,3.25,0.0,14.85,0.0,73.39,0.0,8.51
2025-06-14T14:06:15,0.46,0.0,1.52,0.0,97.29,0.0,0.73
2025-06-14T14:06:15,0.46,0.0,1.52,0.0,97.29,0.0,0.73
2025-06-14T14:06:15,2.12,0.0,2.17,0.13,34.27,0.0,61.31
2025-06-14T14:06:15,0.03,0.0,20.54,0.73,78.66,0.0,0.05
2025-06-14T14:06:15,0.02,0.0,0.77,2.6,96.54,0.0,0.07
2025-06-14T14:06:15,0.03,0.0,0.23,94.88,4.6,0.02,0.24
2025-06-14T14:06:15,0.02,0.0,3.12,18.86,77.89,0.0,0.11
2025-06-14T14:06:15,0.01,0.0,0.71,77.24,21.94,0.0,0.1
2025-06-14T14:06:15,0.28,0.0,4.44,5.77,89.3,0.02,0.19
2025-06-14T14:06:15,0.1,0.0,2.72,50.08,46.92,0.0,0.18
2025-06-14T14:06:15,0.1,0.0,2.72,50.08,46.92,0.0,0.18
2025-06-14T14:06:16,0.0,0.0,0.08,99.27,0.61,0.0,0.03
2025-06-14T14:06:16,0.09,0.0,6.33,18.32,75.2,0.0,0.07
2025-06-14T14:06:16,0.01,0.0,0.31,97.55,2.03,0.01,0.09
2025-06-14T14:06:16,0.01,0.0,0.16,94.57,5.19,0.01,0.07
2025-06-14T14:06:16,0.01,0.0,0.16,94.57,5.19,0.01,0.07
2025-06-14T14:06:16,0.01,0.0,0.05,98.94,0.95,0.0,0.06
2025-06-14T14:06:16,0.12,0.0,10.81,19.05,69.87,0.01,0.14
2025-06-14T14:06:16,0.02,0.0,0.71,90.06,9.05,0.02,0.13
2025-06-14T14:06:16,0.0,0.0,0.0,99.9,0.09,0.0,0.01
2025-06-14T14:06:16,0.0,0.0,0.0,99.9,0.09,0.0,0.01
2025-06-14T14:06:16,0.0,0.0,0.08,99.31,0.58,0.0,0.03
2025-06-14T14:06:16,0.05,0.0,6.67,70.78,22.43,0.01,0.05
2025-06-14T14:06:17,0.11,0.0,12.25,58.28,29.32,0.01,0.04
2025-06-14T14:06:17,0.11,0.0,12.25,58.28,29.32,0.01,0.04
2025-06-14T14:06:17,0.05,0.0,6.46,88.46,4.78,0.07,0.18
2025-06-14T14:06:17,0.03,0.0,3.08,95.82,0.77,0.19,0.12
2025-06-14T14:06:17,0.47,0.0,68.02,20.75,10.25,0.17,0.34
2025-06-14T14:06:17,0.17,0.0,21.27,0.0,78.53,0.02,0.02
2025-06-14T14:06:17,0.17,0.0,21.27,0.0,78.53,0.02,0.02
2025-06-14T14:06:17,0.01,0.0,3.72,0.01,96.26,0.0,0.0
2025-06-14T14:06:17,0.56,0.0,74.31,0.26,24.84,0.0,0.02
2025-06-14T14:06:17,0.0,0.0,20.97,0.0,79.03,0.0,0.0
2025-06-14T14:06:18,0.0,0.0,21.87,0.0,78.13,0.0,0.0
2025-06-14T14:06:18,0.19,0.0,25.78,0.31,73.71,0.0,0.01
2025-06-14T14:06:18,0.3,0.0,38.97,14.63,45.8,0.07,0.23
2025-06-14T14:06:18,0.64,0.0,23.68,0.28,75.35,0.0,0.05
2025-06-14T14:06:18,0.01,0.0,8.48,0.16,91.33,0.0,0.02
2025-06-14T14:06:18,0.05,0.0,50.26,0.04,49.64,0.0,0.01
2025-06-14T14:06:18,0.0,0.0,14.88,0.0,85.11,0.0,0.0
2025-06-14T14:06:18,0.06,0.0,11.44,0.0,88.48,0.0,0.01
2025-06-14T14:06:18,0.06,0.0,11.44,0.0,88.48,0.0,0.01
2025-06-14T14:06:18,0.48,0.0,13.06,0.0,86.41,0.0,0.04
2025-06-14T14:06:19,0.09,0.0,69.44,0.0,30.47,0.0,0.0
2025-06-14T14:06:19,2.2,0.0,26.28,0.01,71.5,0.0,0.01
2025-06-14T14:06:19,2.2,0.0,26.28,0.01,71.5,0.0,0.01
2025-06-14T14:06:19,0.0,0.0,92.51,0.0,1.91,0.0,5.58
2025-06-14T14:06:19,0.0,0.0,5.43,0.0,94.57,0.0,0.0
2025-06-14T14:06:19,0.0,0.0,0.9,0.0,99.1,0.0,0.0
2025-06-14T14:06:19,0.47,0.0,40.94,0.1,58.49,0.0,0.0
2025-06-14T14:06:19,0.47,0.0,40.94,0.1,58.49,0.0,0.0
2025-06-14T14:06:19,0.01,0.0,72.51,0.0,27.47,0.0,0.0
2025-06-14T14:06:19,0.02,0.0,96.5,0.01,3.46,0.0,0.0
2025-06-14T14:06:19,0.0,0.0,92.43,0.0,7.52,0.0,0.05
2025-06-14T14:06:20,0.14,0.0,86.15,0.08,13.61,0.01,0.01
2025-06-14T14:06:20,0.0,0.0,12.59,0.0,87.41,0.0,0.01
2025-06-14T14:06:20,0.0,0.0,12.59,0.0,87.41,0.0,0.01
2025-06-14T14:06:20,0.0,0.0,0.42,0.0,99.58,0.0,0.0
2025-06-14T14:06:20,0.0,0.0,0.2,0.0,99.8,0.0,0.0
2025-06-14T14:06:20,0.0,0.0,0.22,0.0,99.78,0.0,0.0
2025-06-14T14:06:20,0.0,0.0,0.18,0.0,99.82,0.0,0.0
2025-06-14T14:06:20,0.0,0.0,0.18,0.0,99.82,0.0,0.0
2025-06-14T14:06:20,0.0,0.0,0.26,0.0,99.74,0.0,0.0
2025-06-14T14:06:20,0.0,0.0,0.14,0.0,99.86,0.0,0.0
2025-06-14T14:06:21,0.01,0.0,5.65,0.0,94.26,0.0,0.08
2025-06-14T14:06:21,0.02,0.0,9.68,0.0,90.24,0.0,0.06
2025-06-14T14:06:21,0.06,0.0,42.17,0.1,57.19,0.0,0.47
2025-06-14T14:06:21,0.06,0.0,42.17,0.1,57.19,0.0,0.47
2025-06-14T14:06:21,0.05,0.0,3.67,0.01,95.98,0.0,0.3
2025-06-14T14:06:21,0.34,0.0,72.02,0.0,27.64,0.0,0.0
2025-06-14T14:06:21,0.05,0.0,2.73,0.0,93.81,0.0,3.41
2025-06-14T14:06:21,0.04,0.0,57.87,0.0,42.09,0.0,0.0
2025-06-14T14:06:21,0.0,0.0,0.94,0.0,99.06,0.0,0.0
2025-06-14T14:06:21,0.08,0.0,1.49,0.01,93.77,0.0,4.65
2025-06-14T14:06:22,0.08,0.0,1.49,0.01,93.77,0.0,4.65
2025-06-14T14:06:22,0.0,0.0,0.95,0.0,99.05,0.0,0.0
2025-06-14T14:06:22,0.0,0.0,0.22,0.0,99.78,0.0,0.0
2025-06-14T14:06:22,0.0,0.0,2.43,0.0,97.34,0.0,0.23
2025-06-14T14:06:22,0.03,0.0,13.87,0.0,85.41,0.0,0.69
2025-06-14T14:06:22,0.25,0.0,45.16,0.0,53.39,0.06,1.15
2025-06-14T14:06:22,0.25,0.0,45.16,0.0,53.39,0.06,1.15
2025-06-14T14:06:22,0.04,0.0,58.03,0.0,40.76,0.02,1.16
2025-06-14T14:06:22,0.01,0.0,47.41,0.0,48.77,0.0,3.81
2025-06-14T14:06:22,0.0,0.0,1.31,0.0,98.56,0.0,0.13
2025-06-14T14:06:23,0.0,0.0,20.73,0.0,78.8,0.0,0.47
2025-06-14T14:06:23,0.0,0.0,27.92,0.0,71.83,0.0,0.24
2025-06-14T14:06:23,0.0,0.0,27.92,0.0,71.83,0.0,0.24
2025-06-14T14:06:23,0.0,0.0,27.93,0.0,71.93,0.0,0.13
2025-06-14T14:06:23,0.0,0.0,20.44,0.0,79.29,0.0,0.27
2025-06-14T14:06:23,0.0,0.0,17.58,0.0,82.26,0.0,0.16
2025-06-14T14:06:23,0.0,0.0,4.39,0.0,95.56,0.0,0.04
2025-06-14T14:06:23,0.0,0.0,4.39,0.0,95.56,0.0,0.04
2025-06-14T14:06:23,0.0,0.0,11.73,0.0,87.87,0.0,0.4
2025-06-14T14:06:23,0.0,0.0,8.4,0.0,91.48,0.0,0.11
2025-06-14T14:06:24,0.0,0.0,4.33,0.0,95.51,0.0,0.16
2025-06-14T14:06:24,0.0,0.0,1.76,0.0,98.11,0.0,0.12
2025-06-14T14:06:24,0.0,0.0,2.14,0.0,97.63,0.0,0.23
2025-06-14T14:06:24,0.0,0.0,0.28,0.0,99.71,0.0,0.01
2025-06-14T14:06:24,0.0,0.0,0.28,0.0,99.71,0.0,0.01
2025-06-14T14:06:24,0.0,0.0,0.06,0.0,99.93,0.0,0.01
2025-06-14T14:06:24,0.0,0.0,0.07,0.0,99.92,0.0,0.01
2025-06-14T14:06:24,0.01,0.0,96.88,0.33,2.78,0.0,0.0
2025-06-14T14:06:24,0.0,0.0,0.19,0.0,98.91,0.0,0.91
2025-06-14T14:06:24,0.0,0.0,0.19,0.0,98.91,0.0,0.91
2025-06-14T14:06:25,0.0,0.0,1.25,0.0,94.76,0.0,3.99
2025-06-14T14:06:25,0.0,0.0,0.06,0.0,99.61,0.0,0.34
2025-06-14T14:06:25,0.0,0.0,0.09,0.0,99.48,0.0,0.43
2025-06-14T14:06:25,2.78,0.0,1.84,57.45,0.31,0.01,37.61
2025-06-14T14:06:25,6.83,0.0,0.96,1.37,18.92,0.0,71.92
2025-06-14T14:06:25,6.83,0.0,0.96,1.37,18.92,0.0,71.92
2025-06-14T14:06:25,7.58,0.0,0.7,23.42,2.41,0.0,65.89
2025-06-14T14:06:25,0.45,0.0,0.01,98.38,0.09,0.0,1.08
2025-06-14T14:06:25,0.26,0.0,0.01,98.2,0.14,0.0,1.37
2025-06-14T14:06:25,0.06,0.0,3.15,0.67,37.3,0.05,58.76
2025-06-14T14:06:26,0.16,0.0,1.33,1.64,43.41,0.08,53.4
2025-06-14T14:06:26,0.13,0.0,1.49,1.06,43.8,0.07,53.45
2025-06-14T14:06:26,0.1,0.0,2.17,0.34,26.95,0.08,70.35
2025-06-14T14:06:26,0.22,0.0,2.88,1.29,34.28,0.14,61.19
2025-06-14T14:06:26,0.22,0.0,2.88,1.29,34.28,0.14,61.19
2025-06-14T14:06:26,12.43,0.04,0.45,2.55,53.28,0.04,31.22
2025-06-14T14:06:26,0.0,0.0,0.96,0.23,0.11,0.0,98.7
2025-06-14T14:06:26,0.0,0.0,0.05,0.23,0.02,0.0,99.7
2025-06-14T14:06:26,0.0,0.0,0.15,0.13,0.03,0.0,99.69
2025-06-14T14:06:27,0.09,0.0,4.24,0.04,19.95,0.0,75.68
2025-06-14T14:06:27,0.19,0.0,7.72,0.05,19.06,0.0,72.98
2025-06-14T14:06:27,0.32,0.0,32.26,0.02,39.48,0.0,27.91
2025-06-14T14:06:27,0.26,0.0,45.4,0.03,34.28,0.0,20.03
2025-06-14T14:06:27,0.14,0.0,37.75,0.06,35.15,0.0,26.9
2025-06-14T14:06:27,0.17,0.0,53.52,0.02,33.66,0.0,12.64
2025-06-14T14:06:28,0.02,0.0,1.53,0.81,6.87,0.0,90.77
2025-06-14T14:06:28,0.04,0.0,2.06,1.26,10.72,0.0,85.92
2025-06-14T14:06:28,0.05,0.0,15.01,1.2,19.16,0.0,64.57
2025-06-14T14:06:28,0.01,0.0,1.99,1.15,11.68,0.0,85.17
2025-06-14T14:06:28,0.0,0.0,0.21,5.14,2.64,0.0,92.0
2025-06-14T14:06:28,0.0,0.0,0.07,52.31,1.56,0.0,46.06
2025-06-14T14:06:29,0.01,0.0,2.82,6.43,11.86,0.0,78.89
2025-06-14T14:06:29,0.0,0.0,0.04,3.73,1.63,0.0,94.6
2025-06-14T14:06:29,0.0,0.0,0.03,3.51,1.87,0.0,94.59
2025-06-14T14:06:29,0.0,0.0,0.01,33.1,11.52,0.0,55.37
2025-06-14T14:06:29,0.0,0.0,0.0,99.76,0.12,0.01,0.12
2025-06-14T14:06:29,0.27,0.0,41.4,25.82,8.87,0.53,23.11
2025-06-14T14:06:29,0.34,0.0,13.95,0.08,5.8,0.21,79.63
2025-06-14T14:06:29,0.37,0.0,5.81,0.13,4.51,0.18,89.0
2025-06-14T14:06:29,0.37,0.0,5.81,0.13,4.51,0.18,89.0
2025-06-14T14:06:29,0.09,0.0,2.58,0.04,1.45,0.13,95.7
2025-06-14T14:06:30,4.08,0.0,38.28,0.06,46.29,0.03,11.26
2025-06-14T14:06:30,4.25,0.01,59.44,0.02,31.45,0.09,4.75
2025-06-14T14:06:30,2.41,0.0,20.5,0.26,54.13,0.08,22.62
2025-06-14T14:06:30,2.14,0.0,7.21,0.09,38.24,0.11,52.21
2025-06-14T14:06:30,3.9,0.0,22.13,0.14,56.26,0.3,17.26
2025-06-14T14:06:30,3.58,0.0,9.45,0.15,40.04,0.19,46.58
2025-06-14T14:06:30,0.55,0.0,3.88,0.12,23.71,0.09,71.65
2025-06-14T14:06:30,1.36,0.0,5.03,0.06,24.58,0.08,68.89
2025-06-14T14:06:30,1.36,0.0,5.03,0.06,24.58,0.08,68.89
2025-06-14T14:06:30,3.33,0.0,9.37,0.2,28.9,0.42,57.78
2025-06-14T14:06:31,3.17,0.0,12.21,0.12,38.94,0.16,45.4
